ACV B|Cuxhaven Bf/ZOB|ds100
ACV C|Cuxhaven-Döse Kirche|ds100
ACV E|Cuxhaven-Duhnen Seelust|ds100
ACV F|Cuxhaven CF|ds100
ACV G|Cuxhaven Gbf|ds100
ACV H|Cuxhaven Helgoländer Kai|ds100
ACV K|Cuxhaven Alte Liebe Katamaran|ds100
ACV L|Cuxhaven Lichtenbergplatz|ds100
ACV M|Cuxhaven Amerika Bahnhof|ds100
ACV N|Cuxhaven Döser Nordfeld|ds100
ACV O|Cuxhaven-Duhnen Dorfbrunnen|ds100
ACV W|Cuxhaven-Döse Kreuzweg|ds100
ACVG|Cuxhaven DB-Grenze|ds100
ACVX|Cuxhaven ESTW|ds100
ADA|Dalldorf|ds100
ADB|Dannenberg Ost|ds100
ADBG|Dannenberg Ost DB-Grenze|ds100
ADBH|Dagebüll Hafen|ds100
ADBK|Dagebüll Kirche|ds100
ADDL|Diekjen-Deel|ds100
ADEV|Deutsch Evern|ds100
ADF|Hamburg Dammtor|ds100
ADH|Dauenhof|ds100
ADL|Dahlenburg|ds100
ADM|Dagebüll Mole|ds100
ADO|Dorum|ds100
ADPA|Padborg DB (DK) entspricht XDPA|ds100
ADR|Dollern|ds100
ADS|Deinste|ds100
ADS K|Deinste Kleinbf|ds100
ADST|Hamburg Dammtor (S-Bahn)|ds100
ADT|Hamburg Diebsteich|ds100
ADW|Dannenberg West|ds100
ADZB|Deezbüll|ds100
AE|Hamburg-Eidelstedt|ds100
AE F|Hamburg-Eidelstedt (Ef)|ds100
AE N|Hamburg-Eidelstedt (En)|ds100
AE O|Hamburg-Eidelstedt (Eo)|ds100
AEBG|Escheburg|ds100
AEBR|Sankt Annen Eiderbrücke|ds100
AEC|Eckernförde|ds100
AECH|Echem|ds100
AECX|Lindaunis ESTW-Z|ds100
AEF|Einfeld|ds100
AEGG|Hamburg Gutenbergstraße (DB-Gr)|ds100
AEGS|Hamburg Elbgaustraße|ds100
AEGT|Hamburg Gutenbergstraße Abzw|ds100
AEI|Eidersperrwerk|ds100
AEL|Elmshorn|ds100
AEL B|Elmshorn ZOB|ds100
AEL N|Elmshorn Nord|ds100
AEL W|Elmshorn West|ds100
AELA|Ellerau|ds100
AELB|Hamburg Elbbrücken|ds100
AELS|Hamburg Norderelbe|ds100
AELX|Elmshorn ESTW-Z|ds100
AEN|Hamburg-Eidelstedt (AKN)|ds100
AENG|Hamburg-Eidelstedt Zentrum DB-Gr|ds100
AENZ|Hamburg-Eidelstedt Zentrum|ds100
AEOF|Edendorf|ds100
AEQ|Hamburg-Eidelstedt Bedienstandort|ds100
AERI|Hamburg Ericus|ds100
AESA|Elbgaustraße-Stellingen (AKN)|ds100
AESG|Elbgaustraße-Stellingen (DB-Gr)|ds100
AESGW|Elbgaustraße-Stellingen (AKN-Gr)|ds100
AESL|Essel (Kr Stade)|ds100
AESQ|Hamburg-Eidelstedt S-Bahn Bedienstandort|ds100
AEST|Hamburg-Eidelstedt (S-Bahn)|ds100
AESW|Elbgaustraße-Stellingen (Werk S-Bahn)|ds100
AEU|Eutin|ds100
AEX|Hamburg-Eidelstedt ESTW-Z|ds100
AF|Flensburg|ds100
AF B|Flensburg Bahnhof|ds100
AF Z|Flensburg ZOB|ds100
AFAL|Faulück|ds100
AFB|Hamburg-Klein Flottbek|ds100
AFBG|Hamburg Friedrichsberg|ds100
AFC|Fockbek|ds100
AFD|Friedrichstadt|ds100
AFE|Fredenbeck|ds100
AFEB|Felde-Brandsbek|ds100
AFF|Frelsdorf|ds100
AFFB|Fiefbergen|ds100
AFHF|Flensburg Alter Bahnhof|ds100
AFIB|Fischbek|ds100
AFK|Fahrenkrug|ds100
AFN|Fresenburg|ds100
AFR|Flensburg Friedensweg|ds100
AFRD|Friedrichsruh|ds100
AFRG|Friedrichsgabe|ds100
AFS|Flensburg Süd|ds100
AFT|Flintbek|ds100
AFW|Flensburg Weiche|ds100
AFW S|Flensburg Weiche Süd|ds100
AFX|Flensburg ESTW-Z|ds100
AGAS|Garstedt|ds100
AGD|Garding|ds100
AGD M|Garding Mitte|ds100
AGEH|Geesthacht|ds100
AGF|Gettorf|ds100
AGH|Göhrde|ds100
AGHI|Grüner Hirsch|ds100
AGK|Gokels|ds100
AGL|Gollau|ds100
AGNB|Gnarrenburg|ds100
AGNBN|Gnarrenburg Nord|ds100
AGND|Glinde|ds100
AGO|Godenstedt|ds100
AGOE|Göhl|ds100
AGR|Groß Schlamin|ds100
AGRB|Großenbrode FBQ|ds100
AGRD|Grabow (Kr Dannenberg)|ds100
AGRH|Großenbrode-Heiligenhafen|ds100
AGRO|Großenbrode|ds100
AGRS|Groß Schlamin FBQ|ds100
AGSA|Großenaspe|ds100
AGST|Glückstadt|ds100
AGTH|Geestenseth|ds100
AGUE|Güster|ds100
AH|Hamburg Hbf|ds100
AH K|Hamburg Hbf Kirchenallee (Bus)|ds100
AH S|Hamburg Hbf Spitaler Str․ (Bus)|ds100
AH Z|Hamburg Hbf ZOB|ds100
AHA|Harblek|ds100
AHAB|Hamburg-Hammerbrook|ds100
AHAF|Haffkrug|ds100
AHAGL|Hagel|ds100
AHAK|Haffkrug FBQ|ds100
AHAM|Hammah|ds100
AHAN|Handeloh|ds100
AHAR|Hamburg-Harburg|ds100
AHARB|Hamburg-Harburg Bbf|ds100
AHARH|Hamburg-Harburg Betriebsbahnhof Süd|ds100
AHAX|Hamburg-Harburg ESTW-UZ|ds100
AHB|Hamburg Unterelbe|ds100
AHBG|Hamburg-Hausbruch DB-Grenze|ds100
AHBI|Hamburg-Billwerder|ds100
AHBIA|Hamburg-Billwerder-Moorfleet (Abzw)|ds100
AHBIU|Hamburg-Billwerder Ubf|ds100
AHBK|Hollenbek|ds100
AHBR|Hamburg-Hausbruch|ds100
AHBRM|Hamburg-Hausbruch Mitte|ds100
AHBRS|Hamburg-Hausbruch (S-Bahn)|ds100
AHBS|Hamburg Süd|ds100
AHBSP|Hamburg Süd Peute|ds100
AHBT|Hamburg Berliner Tor (Üst)|ds100
AHCH|Hamburg Hoheneichen|ds100
AHDG|Hamburg Süd DB-Grenze|ds100
AHDH|Heudorf-Hüttendorf|ds100
AHDN|Heidenau (Kr․Harburg)|ds100
AHDT|Hattstedt|ds100
AHE|Hemmingstedt|ds100
AHEL|Heeslingen|ds100
AHEM|Hemmoor|ds100
AHEN|Hechthausen|ds100
AHER|Heringsdorf (Holst)|ds100
AHES|Holm-Seppensen|ds100
AHFD|Harsefeld|ds100
AHFS|Hamburg-Heimfeld|ds100
AHGH|Hagen (Holst)|ds100
AHGLF|Helgoland Flughafen|ds100
AHGLK|Helgoland (Südhafen) Katamaran|ds100
AHGLR|Helgoland (Reede)|ds100
AHGLS|Helgoland (Südhafen)|ds100
AHGN|Hagen (Kr Stade)|ds100
AHH|Hörnum (Sylt) Hafen|ds100
AHH M|Hörnum (Sylt) Mitte|ds100
AHH N|Hörnum (Sylt) Nord|ds100
AHH S|Hörnum (Sylt)|ds100
AHH T|Hörnum (Sylt) Steintal|ds100
AHHO|Hallig Hooge|ds100
AHHW|Hamburg Holstenhofweg|ds100
AHI|Heide (Holst)|ds100
AHI F|Heide (Holst) Flughafen|ds100
AHIF|Hittfeld|ds100
AHKM|Hamburger Kinderheim (Sylt)|ds100
AHKS|Halstenbek|ds100
AHKU|Heidekultur|ds100
AHLA|Hallig Langeneß|ds100
AHLF|Haslohfurth|ds100
AHLH|Hasloh|ds100
AHM|Husum|ds100
AHM A|Husum Außenhafen|ds100
AHM B|Husum Bahnhof|ds100
AHM N|Husum Nordstrand|ds100
AHM Z|Husum ZOB|ds100
AHMX|Husum ESTW-Z|ds100
AHNU|Hademarschen|ds100
AHO|Hamburg Unterelbe Seehafen|ds100
AHOD|Hochdonn|ds100
AHOE|Hörn|ds100
AHOF|Hesedorf|ds100
AHOG|Horneburg|ds100
AHOL|Hollenstedt|ds100
AHOR|Hamburg-Horn|ds100
AHOS|Hamburg Hohe Schaar|ds100
AHOSS|Hamburg Hohe Schaar Süd|ds100
AHOT|Horst in Holstein|ds100
AHOW|Hamburg Hörgensweg|ds100
AHPA|Hamburg Hafen|ds100
AHPD|Hepstedt|ds100
AHPF|Himmelpforten|ds100
AHPS|Hamburg Hochkamp|ds100
AHRF|Hamburg-Harburg Rathaus|ds100
AHRO|Hamburg-Rothenburgsort|ds100
AHROF|Hamburg-Rothenburgsort Tk|ds100
AHROO|Hamburg-Rothenburgsort Ro|ds100
AHROP|Hamburg-Rothenburgsort Rop|ds100
AHRS|Hamburg-Harburg (S-Bahn)|ds100
AHRX|Hamburg-Rothenburgsort ESTW-UZ|ds100
AHS|Hamburg Hbf (S-Bahn)|ds100
AHSB|Hamburg Hasselbrook (S-Bahn)|ds100
AHSD|Harsefeld Süd|ds100
AHSF|Hamburg Hasselbrook|ds100
AHSG|Hasselburg|ds100
AHSH|Hamburg Holstenstraße H|ds100
AHSM|Hamburg Stellmoor (Fernbahn)|ds100
AHSN|Hemsen (b Soltau)|ds100
AHSO|Hamburg Holstenstraße D|ds100
AHSQ|Hamburg Hbf (S-Bahn) Bedienstandort|ds100
